CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00001341-CL-UD-CTL,San Diego,92122,1,2018,,Y,N,N
37-2018-00001384-CL-UD-CTL,EL CAJON,92021,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001397-CL-UD-CTL,San Diego,92123,1,2018,Court finding,Y,Y,N
37-2018-00001401-CL-UD-CTL,Valley Center,92082,1,2018,Court finding,Y,N,N
37-2018-00001410-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by court,N,Y,Y
37-2018-00001415-CL-UD-CTL,Imperial Beach,91932,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001472-CL-UD-CTL,San Diego,92139,1,2018,Court finding,Y,Y,N
37-2018-00001480-CL-UD-CTL,San Diego,92115,1,2018,Court finding,Y,Y,Y
37-2018-00001495-CL-UD-CTL,Lemon Grove,91945,1,2018,Court finding,Y,Y,N
37-2018-00001506-CL-UD-CTL,Campo,91906,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001522-CL-UD-CTL,Oceanside,92056,1,2018,Default judgment by court,N,Y,Y
37-2018-00001535-CL-UD-CTL,El Cajon,92021,1,2018,Default judgment by court,N,Y,Y
37-2018-00001579-CL-UD-CTL,Vista,92084,1,2018,Court finding,Y,Y,N
37-2018-00001585-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,N,Y
37-2018-00001591-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by court,N,Y,Y
37-2018-00001593-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001602-CL-UD-CTL,Escondido,92025,1,2018,Default judgment by court,N,Y,Y
37-2018-00001606-CL-UD-CTL,Chula Vista,91911,1,2018,Default judgment by court,N,Y,Y
